Col_ID,Description,Flag for Removal,Flag for Rename,Category,Rename ideas,
MEM_shcoeffs_L10M10C_lcc,,Y,,,,
MEM_shcoeffs_L10M10S_lcc,,Y,,,,
MEM_shcoeffs_L10M11C_lcc,,Y,,,,
MEM_shcoeffs_L10M11S_lcc,,Y,,,,
MEM_shcoeffs_L10M12C_lcc,,Y,,,,
MEM_shcoeffs_L10M12S_lcc,,Y,,,,
MEM_shcoeffs_L10M13C_lcc,,Y,,,,
MEM_shcoeffs_L10M13S_lcc,,Y,,,,
MEM_shcoeffs_L10M14C_lcc,,Y,,,,
MEM_shcoeffs_L10M14S_lcc,,Y,,,,
MEM_shcoeffs_L10M15C_lcc,,Y,,,,
MEM_shcoeffs_L10M15S_lcc,,Y,,,,
MEM_shcoeffs_L10M16C_lcc,,Y,,,,
MEM_shcoeffs_L10M16S_lcc,,Y,,,,
MEM_shcoeffs_L10M1C_lcc,,Y,,,,
MEM_shcoeffs_L10M1S_lcc,,Y,,,,
MEM_shcoeffs_L10M2C_lcc,,Y,,,,
MEM_shcoeffs_L10M2S_lcc,,Y,,,,
MEM_shcoeffs_L10M3C_lcc,,Y,,,,
MEM_shcoeffs_L10M3S_lcc,,Y,,,,
MEM_shcoeffs_L10M4C_lcc,,Y,,,,
MEM_shcoeffs_L10M4S_lcc,,Y,,,,
MEM_shcoeffs_L10M5C_lcc,,Y,,,,
MEM_shcoeffs_L10M5S_lcc,,Y,,,,
MEM_shcoeffs_L10M6C_lcc,,Y,,,,
MEM_shcoeffs_L10M6S_lcc,,Y,,,,
MEM_shcoeffs_L10M7C_lcc,,Y,,,,
MEM_shcoeffs_L10M7S_lcc,,Y,,,,
MEM_shcoeffs_L10M8C_lcc,,Y,,,,
MEM_shcoeffs_L10M8S_lcc,,Y,,,,
MEM_shcoeffs_L10M9C_lcc,,Y,,,,
MEM_shcoeffs_L10M9S_lcc,,Y,,,,
MEM_shcoeffs_L11M0C_lcc,,Y,,,,
MEM_shcoeffs_L11M0S_lcc,,Y,,,,
MEM_shcoeffs_L11M10C_lcc,,Y,,,,
MEM_shcoeffs_L11M10S_lcc,,Y,,,,
MEM_shcoeffs_L11M11C_lcc,,Y,,,,
MEM_shcoeffs_L11M11S_lcc,,Y,,,,
MEM_shcoeffs_L11M12C_lcc,,Y,,,,
MEM_shcoeffs_L11M12S_lcc,,Y,,,,
MEM_shcoeffs_L11M13C_lcc,,Y,,,,
MEM_shcoeffs_L11M13S_lcc,,Y,,,,
MEM_shcoeffs_L11M14C_lcc,,Y,,,,
MEM_shcoeffs_L11M14S_lcc,,Y,,,,
MEM_shcoeffs_L11M15C_lcc,,Y,,,,
MEM_shcoeffs_L11M15S_lcc,,Y,,,,
MEM_shcoeffs_L11M16C_lcc,,Y,,,,
MEM_shcoeffs_L11M16S_lcc,,Y,,,,
MEM_shcoeffs_L11M1C_lcc,,Y,,,,
MEM_shcoeffs_L11M1S_lcc,,Y,,,,
